HR02.No,HR03.No,HR06.No,HR02.Yes,HR03.Yes,HR05.Yes,HR06.Yes,variable
No,No,No,Yes,Yes,Yes,Yes,flag_two
0.000000,0.000000,0.000000,0.000000,4.544505,0.000000,0.000000,Total.SURVEY_LU1_3U413
 0.00000, 0.00000, 0.00000,49.51002,38.62444, 0.00000, 0.00000,Total.SURVEY_LU1_3U414
 0.000000, 0.000000, 0.000000, 8.573361,82.190916, 0.000000, 0.000000,Total.SURVEY_LU1_3U415
  105.174858,  540.217450,    3.911664, 3811.617063,14394.323793,   50.703723, 1120.304312,Total.SURVEY_LU1_3U420
 1565.90679, 1101.33124,   96.76622,20663.62628,22515.07545,  477.35277, 7315.79428,Total.settlement0
   4.354262,   0.000000,   0.000000, 986.112667,1088.593306, 163.647233, 615.439501,Total.settlement1
1276.41888, 101.61762,  92.85456,9946.45070,8752.77691, 346.14983,4171.36549,Total.fao_class_name0
  293.842173,  999.713622,    3.911664,10825.532894,11084.909052,  274.181494, 3492.636324,Total.fao_class_name1
   0.000000,   0.000000,   0.000000, 587.248575,3260.735252,   4.341199, 175.948695,Total.fao_class_name2
  0.00000,  0.00000,  0.00000,290.50677,505.24754, 16.32748, 91.28327,Total.fao_class_name3
 1565.90679, 1101.33124,   96.76622,20993.26313,22957.65841,  532.65955, 7589.13748,Total.lue0
  4.354262,  0.000000,  0.000000,656.475811,646.010348,108.340447,342.096301,Total.lue1
 1570.26106, 1101.33124,   96.76622,21151.54448,23132.60840,  590.69510, 7622.23138,Total.lud0
  0.0000,  0.0000,  0.0000,498.1945,471.0604, 50.3049,309.0024,Total.lud1
173.19509,115.96247, 26.58839,365.78389,121.24257,115.70833,322.19383,SE.Total.area
 0.00000, 0.00000, 0.00000,73.96349,42.66820,44.97437,59.15518,SE.Total.SURVEY_LC1_1A
137.12916, 17.69338, 26.58839,180.26732, 54.03995, 27.28732,117.76817,SE.Total.SURVEY_LC1_1B
105.79349,114.60470,  0.00000,313.02972,183.57319, 97.46095,278.99418,SE.Total.SURVEY_LC1_1C
  0.000000,  0.000000,  0.000000, 61.942844,151.752197,  3.133272, 28.684517,SE.Total.SURVEY_LC1_1D
  0.00000,  0.00000,  0.00000,125.50188, 88.29011, 32.78098,110.76482,SE.Total.SURVEY_LC1_1E
  0.00000,  0.00000,  0.00000,143.41193, 43.91673,  0.00000, 31.41967,SE.Total.SURVEY_LC1_1F
 0.000000, 0.000000, 0.000000,16.706739, 0.000000, 7.084537,12.101805,SE.Total.SURVEY_LC1_1G
0.0000000,0.0000000,0.0000000,7.7113867,0.0000000,0.0000000,0.7754028,SE.Total.SURVEY_LC1_1H
162.56506, 90.59854, 26.58839,379.76750,225.75164,103.78509,305.69437,SE.Total.SURVEY_LU1_1U1
 0.000000, 0.000000, 0.000000, 8.003587, 0.000000, 0.000000,13.069889,SE.Total.SURVEY_LU1_1U2
 0.00000, 0.00000, 0.00000,89.71711,65.58131,50.25437,73.12030,SE.Total.SURVEY_LU1_1U3
 60.932360, 76.273831,  0.000000,211.406594,230.053960,  9.972648,101.198386,SE.Total.SURVEY_LU1_1U4
 0.00000, 0.00000, 0.00000,57.94594,41.95129,42.41151,40.95468,SE.Total.SURVEY_LC1_2A1
 0.00000, 0.00000, 0.00000,56.99600,50.09466,15.05503,47.67229,SE.Total.SURVEY_LC1_2A2
0.000000,0.000000,0.000000,0.000000,5.357984,0.000000,7.880457,SE.Total.SURVEY_LC1_2A3
  0.00000,  0.00000,  0.00000,157.19771, 12.46177, 11.57740,100.04185,SE.Total.SURVEY_LC1_2B1
 0.000000, 0.000000, 0.000000,35.869815, 7.994397, 0.000000,31.157413,SE.Total.SURVEY_LC1_2B2
  0.000000,  0.000000,  0.000000,101.788235,  3.237767,  0.000000, 42.576059,SE.Total.SURVEY_LC1_2B3
 0.000000, 0.000000, 0.000000,11.872646, 9.387757, 0.000000,10.698219,SE.Total.SURVEY_LC1_2B4
 0.00000, 0.00000, 0.00000,53.58867,18.56017,24.49688,30.01227,SE.Total.SURVEY_LC1_2B5
 0.000000, 0.000000, 0.000000,45.767812,40.882962, 3.234955,27.352676,SE.Total.SURVEY_LC1_2B7
 0.00000, 0.00000, 0.00000,27.23199,55.02925, 0.00000,14.34436,SE.Total.SURVEY_LC1_2B8
137.12916, 17.69338, 26.58839,  0.00000,  0.00000,  0.00000,  0.00000,SE.Total.SURVEY_LC1_2Bx
  0.00000,  0.00000,  0.00000,325.82112,221.87115, 97.46095,275.56091,SE.Total.SURVEY_LC1_2C1
 44.925256, 64.969241,  0.000000, 59.893161,133.677881,  0.000000,  2.426413,SE.Total.SURVEY_LC1_2C2
 96.2614, 97.1265,  0.0000,121.6318,156.1315,  0.0000, 60.1098,SE.Total.SURVEY_LC1_2C3
  0.000000,  0.000000,  0.000000, 31.969068,105.188215,  3.133272, 19.549830,SE.Total.SURVEY_LC1_2D1
  0.00000,  0.00000,  0.00000, 53.49395,124.52181,  0.00000, 21.09392,SE.Total.SURVEY_LC1_2D2
0,0,0,0,0,0,0,SE.Total.SURVEY_LC1_2Dx
 0.000000, 0.000000, 0.000000,32.138070,90.030571, 8.848825,46.956290,SE.Total.SURVEY_LC1_2E1
 0.00000, 0.00000, 0.00000,88.33975,89.65482,31.55448,80.40069,SE.Total.SURVEY_LC1_2E2
 0.0000000, 0.0000000, 0.0000000,90.1360203,23.8709494, 0.7966073,62.8066788,SE.Total.SURVEY_LC1_2E3
 0.00000, 0.00000, 0.00000, 0.00000,23.51771, 0.00000, 0.00000,SE.Total.SURVEY_LC1_2F1
0,0,0,0,0,0,0,SE.Total.SURVEY_LC1_2F2
  0.00000,  0.00000,  0.00000,143.41193, 37.09188,  0.00000, 31.41967,SE.Total.SURVEY_LC1_2F4
 0.000000, 0.000000, 0.000000,14.681132, 0.000000, 0.000000, 8.955491,SE.Total.SURVEY_LC1_2G1
 0.000000, 0.000000, 0.000000,18.619180, 0.000000, 7.084537, 8.955491,SE.Total.SURVEY_LC1_2G2
0,0,0,0,0,0,0,SE.Total.SURVEY_LC1_2G3
0,0,0,0,0,0,0,SE.Total.SURVEY_LC1_2G4
0.0000000,0.0000000,0.0000000,7.7113867,0.0000000,0.0000000,0.7754028,SE.Total.SURVEY_LC1_2H1
0,0,0,0,0,0,0,SE.Total.SURVEY_LC1_2H2
137.12916, 17.69338, 26.58839,187.25853, 93.96122, 36.34348,138.94041,SE.Total.SURVEY_LU1_2U11
 87.30993, 88.85403,  0.00000,331.42987,207.90769, 97.22772,272.71395,SE.Total.SURVEY_LU1_2U12
 0.000000, 0.000000, 0.000000,14.681132, 0.000000, 0.000000, 6.468687,SE.Total.SURVEY_LU1_2U13
0,0,0,0,0,0,0,SE.Total.SURVEY_LU1_2U14
0.000000,0.000000,0.000000,2.698319,0.000000,0.000000,2.895334,SE.Total.SURVEY_LU1_2U15
0.000000,0.000000,0.000000,7.302320,0.000000,0.000000,3.218946,SE.Total.SURVEY_LU1_2U21
 0.000000, 0.000000, 0.000000, 3.276205, 0.000000, 0.000000,12.667296,SE.Total.SURVEY_LU1_2U22
 0.00000, 0.00000, 0.00000,41.93249,49.75595,13.34295,51.10813,SE.Total.SURVEY_LU1_2U31
0.000000,0.000000,0.000000,3.096433,5.999015,0.000000,4.315652,SE.Total.SURVEY_LU1_2U32
0.000000,0.000000,0.000000,7.128336,5.617169,0.000000,0.000000,SE.Total.SURVEY_LU1_2U33
 0.000000, 0.000000, 0.000000,39.661997,27.788951, 0.000000, 6.835399,SE.Total.SURVEY_LU1_2U34
 0.00000, 0.00000, 0.00000,23.21430,33.78856, 0.00000, 0.00000,SE.Total.SURVEY_LU1_2U35
 0.000000, 0.000000, 0.000000,31.959069, 8.032567,22.716168, 8.955491,SE.Total.SURVEY_LU1_2U36
 0.00000, 0.00000, 0.00000,74.16284,49.02310,42.79536,60.55218,SE.Total.SURVEY_LU1_2U37
 0.000000, 0.000000, 0.000000,12.189047,35.510683, 0.000000, 2.697201,SE.Total.SURVEY_LU1_2U41
 60.932360, 76.273831,  0.000000,211.090894,228.930388,  9.972648,101.167434,SE.Total.SURVEY_LU1_2U42
 0.00000, 0.00000, 0.00000,57.08590,38.95332,42.41151,40.95468,SE.Total.SURVEY_LC1_3A11
 0.00000, 0.00000, 0.00000, 0.00000,23.78967, 0.00000, 0.00000,SE.Total.SURVEY_LC1_3A12
0.000000,0.000000,0.000000,9.946486,0.000000,0.000000,0.000000,SE.Total.SURVEY_LC1_3A13
 0.00000, 0.00000, 0.00000,48.83295,38.99329,10.06002,15.59963,SE.Total.SURVEY_LC1_3A21
 0.00000, 0.00000, 0.00000,33.29822,33.59627,11.84345,45.28169,SE.Total.SURVEY_LC1_3A22
0.000000,0.000000,0.000000,0.000000,5.357984,0.000000,7.880457,SE.Total.SURVEY_LC1_3A30
 0.00000, 0.00000, 0.00000,83.87862, 0.00000, 0.00000,18.19636,SE.Total.SURVEY_LC1_3B11
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,10.65955,SE.Total.SURVEY_LC1_3B12
 0.000000, 0.000000, 0.000000,41.032659, 7.757623, 0.000000,36.450681,SE.Total.SURVEY_LC1_3B13
